
# This file contains one likely family per line (definied by tor relay fingerprints, separated by ',')

+---------------------+----------+----------------------+---------+-----------------+---------+----------+-------------+---------+---------+
| first_seen          | nickname | as_name              | country | IP              | or_port | dir_port | tor_version | contact | efamily |
#contact: https://www.torservers.net/donate.html <support .AT. torservers .DOT. net>  (merged into previous section)
#+---------------------+------------------------+------+----------------+---------+----------+-------------+-------+-------------------------------------+----------------+------+------+
#| first_seen          | AS                     | cc   | IP             | or_port | dir_port | tor_version | OS    | contact                             | nickname       | exit | efam |
#+---------------------+------------------------+------+----------------+---------+----------+-------------+-------+-------------------------------------+----------------+------+------+
#| 2014-02-13 15:00:00 | NFOrce Entertainment B | nl   | 77.247.181.163 |     443 |       80 | 0.2.6.9     | Linux | https://www.torservers.net/donate.h | lumumba        |    1 |   16 |
#| 2014-02-13 15:00:00 | NFOrce Entertainment B | nl   | 77.247.181.165 |     110 |     NULL | 0.2.6.9     | Linux | https://www.torservers.net/donate.h | politkovskaja2 |    1 |   16 |
#| 2014-02-13 15:00:00 | NFOrce Entertainment B | nl   | 77.247.181.165 |     443 |     NULL | 0.2.6.9     | Linux | https://www.torservers.net/donate.h | politkovskaja  |    1 |   16 |
#| 2015-07-05 02:00:00 | QuadraNet, Inc         | us   | 96.47.226.21   |     443 |     NULL | 0.2.6.9     | Linux | https://www.torservers.net/donate.h | impastato      |    1 | NULL |
#| 2015-07-05 02:00:00 | QuadraNet, Inc         | us   | 96.47.226.22   |      80 |     NULL | 0.2.6.9     | Linux | https://www.torservers.net/donate.h | shifidi        |    1 | NULL |
#| 2015-07-29 14:00:00 | Portlane AB            | se   | 91.240.67.8    |     443 |       80 | 0.2.6.10    | Linux | https://www.torservers.net/donate.h | SWETOR         |    1 | NULL |
#| 2015-07-31 00:00:00 | CYBERDYNE              | se   | 46.246.52.10   |     443 |       80 | 0.2.6.10    | Linux | https://www.torservers.net/donate.h | SthTOR         |    1 | NULL |
#+---------------------+------------------------+------+----------------+---------+----------+-------------+-------+-------------------------------------+----------------+------+------+

#Prefix: torpid
#+---------------------+---------------------+------------------------+------+-----------------+---------+----------+-------------+-------+-------------------------------------+------+
#| first_seen          | nickname            | AS                     | cc   | IP              | or_port | dir_port | tor_version | OS    | contact                             | efam |
#+---------------------+---------------------+------------------------+------+-----------------+---------+----------+-------------+-------+-------------------------------------+------+
#| 2013-07-12 21:00:00 | torpidsDEdomainf    | domainfactory GmbH     | de   | 37.200.98.5     |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-07-18 19:00:00 | torpidsUSqfoundry   | Query Foundry, LLC     | us   | 107.182.131.136 |     443 |       80 | 0.2.6.10    | Linux | torpids AT yahoo dot com - 1JYHfzVF |   37 |
#| 2013-07-25 10:00:00 | torpidsHUazara      | Azar-A Kft.            | hu   | 91.219.237.110  |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-08-10 12:00:00 | torpidsFRovh        | OVH SAS                | fr   | 37.187.20.59    |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-09-29 18:00:00 | torpidsDEinterwerk  | Dennis Rainer Warnholz | de   | 134.255.239.61  |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-10-15 21:00:00 | torpidsUKuk2        | UK2 - Ltd              | gb   | 46.23.70.195    |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-10-30 21:00:00 | torpidsDEmyloc1     | myLoc managed IT AG    | de   | 185.15.244.124  |     443 |       80 | 0.2.6.10    | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-11-10 14:00:00 | torpidsRUpallada    | ISPsystem, cjsc        | ru   | 212.109.216.120 |     443 |       80 | 0.2.6.10    | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-11-10 19:00:00 | torpidsCZwedos      | WEDOS Internet, a.s.   | cz   | 46.28.110.129   |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-11-25 22:00:00 | torpidsUSoplink     | The Optimal Link Corpo | us   | 216.230.230.247 |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2013-11-25 22:00:00 | torpidsDEmyloc      | myLoc managed IT AG    | de   | 46.228.199.19   |     443 |       80 | 0.2.6.10    | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2014-01-15 22:00:00 | torpidsUAitlas      | ITL Company            | ua   | 217.12.199.190  |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2014-01-18 18:00:00 | torpidsROclues      | M247 Ltd               | ro   | 89.46.100.162   |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2014-03-23 22:00:00 | torpidsCAovh        | OVH SAS                | ca   | 198.50.146.40   |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2014-04-13 19:00:00 | torpidsCZgtt        | GTT a.s.               | cz   | 46.36.37.27     |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2014-05-09 21:00:00 | torpidsDEmyloc3     | myLoc managed IT AG    | de   | 89.163.224.187  |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   32 |
#| 2014-08-08 23:00:00 | torpidsITseflow     | Seflow S.N.C. Di Marco | it   | 94.198.98.71    |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |   37 |
#| 2014-08-13 14:00:00 | torpidsDEcontabo    | Contabo GmbH           | de   | 91.194.90.103   |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |    3 |
#| 2014-08-26 19:00:00 | torpidsFRonline     | ONLINE S.A.S.          | fr   | 195.154.121.198 |     443 |       80 | 0.2.6.10    | Linux | torpids AT yahoo dot com - 1JYHfzVF |    3 |
#| 2014-10-07 21:00:00 | torpidsFRonline2    | ONLINE S.A.S.          | fr   | 195.154.116.232 |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |    3 |
#| 2014-10-10 18:00:00 | torpidsITseflow2    | Seflow S.N.C. Di Marco | it   | 94.198.100.18   |     443 |       80 | 0.2.6.7     | Linux | torpids AT yahoo dot com - 1JYHfzVF |    3 |
