CW   adv_mbps GuardP MiddleP ExitP     Family ID                                 Name
--------------------------------------------------------------------------------------------------------
2.4023% 2061 0.0000% 0.0000% 7.8937%   5C1E076A17578A8D734F977D53D28D409D546773  TvdW.eu
0.0088% 18  0.0141% 0.0111% 0.0000%   95FCF786F854084A03DAA2B1BC31019BD4B43E8A
0.0087% 24  0.0128% 0.0121% 0.0000%   9A68B85A02318F4E7E87F2828039FBD5D75B0142
0.0087% 20  0.0146% 0.0103% 0.0000%   71A46BF9155404B6A361FF8D4924B8CBBEE0C082
0.0086% 30  0.0000% 0.0204% 0.0049%   28C52CDBB78DA46124DA62EC1D6796689E719210
0.0084% 22  0.0110% 0.0068% 0.0072%   1AE180250D80A692077EDA35CC8E7387A9FDF220
0.0082% 24  0.0000% 0.0237% 0.0000%   1705159B4D2C047D3BFBC9AB190E617C12D38AC5
0.0081% 18  0.0000% 0.0232% 0.0000%   E754AA9939DE56E388390930B302142FA319085F
0.0076% 12  0.0000% 0.0110% 0.0124%   8AAACCAEF793C4C55999A53DC1FFFA43D9FFE224
0.0072% 17  0.0000% 0.0158% 0.0056%   D392EED74A3D752C1EFBB69D65E11AB89034BB79
0.0069% 15  0.0000% 0.0199% 0.0000%   702491F10EFBE6412F6E93E883F1F586839996F8
0.0069% 14  0.0000% 0.0199% 0.0000%   20F84E22B9D5185FABA58AFA9EB76F9B1FF5A44F
0.0068% 19  0.0000% 0.0195% 0.0000%   4FADA5F11F19800D547963BAE29A0B8B804B3D60
0.0068% 16  0.0000% 0.0195% 0.0000%   8A11BE8EBBAB4E55C6CFB796ECCEB07841186D5A
0.0066% 13  0.0000% 0.0001% 0.0216%   E1E1059D8C41FC48B823C6F09348EA89C4D4C9D4
0.0063% 8  0.0000% 0.0181% 0.0000%   73AB1555F0DA2E6D6B2AB2A603A8CB34F2981B3D
0.0063% 22  0.0000% 0.0182% 0.0000%   B954D1F868F23D4ECA625B91C7A8CFEF57F891C9
0.0062% 22  0.0000% 0.0179% 0.0000%   2224E7AF8101885850EC7F2F9EB99F823E8014BE
0.0062% 16  0.0000% 0.0107% 0.0081%   FE0D9921044C3C274E4A006B6B32576082363118
0.0058% 18  0.0089% 0.0079% 0.0000%   CF9E460507735A878A9059F3434BEF3EDC5584FE
0.0056% 8  0.0000% 0.0161% 0.0000%   E2AF5879F39FF40DF8994E9B8FAEAB2518AEEBA4
0.0055% 8  0.0000% 0.0158% 0.0000%   55F90B04AEB3A4B3EB59500367A425F082702835
0.0055% 11  0.0000% 0.0158% 0.0000%   B957846F90160B97E636F3B2A4D9822ABA075C05
0.0054% 20  0.0000% 0.0156% 0.0000%   F1415974C9BAD20AC0736B99823FD0C6C5128DD5
0.0053% 12  0.0000% 0.0152% 0.0000%   4AC8AEC48B49994684AD212497C21AE46BA908E7
0.0050% 13  0.0000% 0.0142% 0.0000%   17F47BD7D93831B05B93704F57B73AA1836BB0C9
0.0049% 14  0.0000% 0.0141% 0.0000%   326DE7D9C6AA91CD6F595C6FEBE0DADB3AE51BA6
0.0047% 13  0.0000% 0.0136% 0.0000%   82F3D40AB8862551EDB14CB60C094300153A4E6A
0.0046% 9  0.0000% 0.0131% 0.0000%   309CBDA40F1EDB8BC08969F578F7AFCC905D9DE2
0.0046% 10  0.0000% 0.0133% 0.0000%   4D6566AA9F033B1EBE6A5D41A817F5367F097F6E
0.0045% 11  0.0000% 0.0130% 0.0000%   BB5DB21A90A02246DB43EA465D3E1585173F1BD1
0.0044% 16  0.0000% 0.0000% 0.0143%   8BC046B0B42962DBD27358DF4B8388088323764B
0.0041% 8  0.0000% 0.0116% 0.0000%   EB25E7EC1D2BF135021278CC4BC77B2A82A7C6C9
0.0041% 18  0.0000% 0.0000% 0.0133%   520909C1A11A1CD2CCC75819DBB5976CEBD89448
0.0039% 11  0.0000% 0.0111% 0.0000%   F695111512859269E0959B5C9F87C5DB9B7F8A16
0.0038% 12  0.0000% 0.0108% 0.0000%   E9364B7A785535AE5968780734328B70DD4A6EE5
0.0033% 9  0.0000% 0.0095% 0.0000%   E6337538DBE1193F65FE9ACDF64FCB0B092BA33A
